	Estimate	Std. Error	z value	Pr(>|z|)
pos_seq95	1.60462802319725	8.4360943659543	0.190209823834247	0.8491447133467
pos_seq96	-1.10342217790586	8.42688927554189	-0.130940628484157	0.89582227447013
pos_seq97	-1.39110425035784	8.43757281880806	-0.164870191965272	0.869046154657852
pos_seq98	-1.39110425035777	8.40795436737338	-0.165450975299756	0.868589033992724
pos_seq99	-0.341282125859074	8.42087235652788	-0.0405281200580735	0.967672088888772
pos_seq100	1.94110025981783	8.46813986252049	0.229223925363944	0.818694877841287
pos_seq101	1.78694957999018	8.46954259119161	0.210985370313696	0.832898687201931
pos_seq102	-0.187131446031508	8.4077895289762	-0.0222569137091964	0.982243018239037
pos_seq103	0.441477213390493	8.40357681142709	0.0525344413809817	0.958102852960157
pos_seq104	1.6999382030005	8.43555668248944	0.201520571431787	0.840291545692389
pos_seq105	2.93962908992865	8.46282214920015	0.347358013450216	0.728322372246506
pos_seq106	-1.00333871934909	8.40633682838926	-0.119355046060097	0.904994074680837
pos_seq107	-0.00480988923788462	8.40548145209468	-0.000572232449181834	0.999543424588525
pos_seq108	0.688337291322008	8.40522110289393	0.0818940136012618	0.934730994904621
pos_seq109	0.842487971148881	8.42876868188385	0.099953860753073	0.920380955713646
pos_seq110	0.806120326977996	8.40589365515194	0.0958994201031711	0.923600455149437
pos_seq111	1.19916291508819	8.41339222247115	0.142530252171696	0.886661185515329
pos_seq112	-1.58034624999657	8.41247195496305	-0.187857535627709	0.850988331665655
pos_seq113	0.400655218870421	8.40548145209059	0.0476659452708412	0.961982474974889
pos_seq114	0.46519374000764	8.41017936942719	0.0553131769934324	0.955888964515804
pos_seq115	0.46180964202357	8.40314493796781	0.0549567626683413	0.956172910095292
pos_seq116	-14.5708777949717	881.845814196187	-0.0165231580854679	0.98681702712831
pos_seq117	0.506015734527976	8.43215055767886	0.0600102822010413	0.952147445438785
pos_seq118	-0.00480988923671725	8.51849257510672	-0.000564640890898117	0.999549481774693
pos_seq119	-0.00480988923741319	8.51849257510992	-0.000564640890979602	0.999549481774628
pos_seq120	-0.00480988923924002	8.51849257510426	-0.000564640891194432	0.999549481774457
pos_seq121	1.09380239943053	8.41635684438567	0.12996150468123	0.89659688314083
pos_seq122	-1.8611078796036	8.40115772278527	-0.221529929685284	0.824679834929109
pos_seq123	0.534186611494828	8.41395699288985	0.0634881556853972	0.949377790610886
pos_seq124	-14.5708776699804	156.108900853599	-0.0933379044391912	0.925635120117181
pos_seq125	-0.00480988923741663	8.51849257509813	-0.000564640890980787	0.999549481774627
pos_seq126	-0.985639142249754	8.42771156738333	-0.116952168375618	0.906897957380161
pos_seq127	-0.784134766038792	8.40061219948675	-0.0933425740193911	0.925631410526203
pos_seq128	0.0752328184356776	8.41004626620478	0.00894558912689883	0.992862547742551
pos_seq129	-1.00625842945246	8.40504398999158	-0.119720780837159	0.904704338031878
pos_seq130	-0.00480988923731265	8.44003633138458	-0.000569889636544206	0.999545293882253
pos_seq131	-1.61424780167285	8.47150602112747	-0.190550274962563	0.848877951060705
pos_seq132	-1.76839848150003	8.40343191385982	-0.210437652095854	0.833326108391123
pos_seq133	-1.55896602426632	8.40113801721199	-0.185566053202835	0.852785076755101
pos_seq134	-0.481547550664978	8.40105377590383	-0.0573198986115489	0.954290369611502
pos_seq135	-0.532337362622013	8.40103047349088	-0.0633657221339432	0.949475282150801
pos_seq136	-2.34513531021475	8.40303741250796	-0.279081859938408	0.780182003950996
